"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"30","RPRML",10.201344464135,-2.28939301524726,0.676499113944675,2.51998042567674e-05,0.0133390963865822
"31","PADI1",49.0392404069102,1.60973101335153,0.527990874863257,4.14709701442646e-05,0.0212438388997072
"32","SASS6",100.535180817982,-0.556117528522717,0.16634152992032,4.35539447256185e-05,0.0216136450700882
"33","TANC1",502.568219195992,0.524992066399826,0.162399774026004,4.95442949594034e-05,0.0224789543987236
"34","AC048352.1",13.7925541206875,0.0176706349907951,0.0844192599474105,4.76657963952531e-05,0.0224789543987236
"35","MIR548XHG",89.5364443548348,-2.16903083972364,0.68862628815517,4.8423601814712e-05,0.0224789543987236
"36","INSIG2",79.6577300080599,0.968248292987678,0.319347896273871,5.66736420607367e-05,0.024999373220125
"37","RAD23B",526.800742927845,-0.432505420379696,0.133999941383176,6.23003020878842e-05,0.0267386161393405
"38","RAB40C",63.2454843673462,0.673513834381093,0.221948700755176,6.57935609345446e-05,0.0274947828326465
"39","ABCD1",71.1332902763994,0.626967285156619,0.208765514026564,7.07252884092821e-05,0.0287978866651128
"40","OXR1",187.731589300104,0.703272778821433,0.232829377971638,7.34041543345747e-05,0.0291414492708262
"41","CASD1",26.5687976796069,-0.875919071155245,0.291824044224715,8.403717567671e-05,0.0319130063420514
"42","LINC01297",5.94315553083859,-0.0327180407021027,0.0913960398186774,8.53706506783488e-05,0.0319130063420514
"43","COASY",312.880047300813,-0.468948277814056,0.151012128906319,8.64143118833887e-05,0.0319130063420514
"44","PTPN5",11.8601418439987,-0.0576531743070807,0.115186595014955,8.86796528353981e-05,0.0320052928869573
"45","INO80-AS1",43.3677771730937,-0.0359227682877696,0.0934813863255454,9.07204735274897e-05,0.0320142471025897
"46","CSF1R",46.289301727898,1.20960197771584,0.400068320117175,9.80790176755401e-05,0.0331616830653035
"47","GPX3",637.52685161276,1.35017461705622,0.494210535459268,9.81485581907598e-05,0.0331616830653035
"48","CLEC1A",793.5350412496,0.68941355523936,0.248890008479718,0.000117688288537636,0.0389352087912014
"49","TP53INP2",29.723640812221,1.11426440094322,0.429253148776801,0.000120448996994786,0.0390353075974938
"50","MAN1C1",145.226845261625,1.07596476476026,0.424805611070159,0.000130520539486039,0.0414533233407659
"51","MTSS1",95.2876400779953,-1.16792346011241,0.402712640113288,0.000139000622939638,0.0432809782800285
"52","ARL13B",26.0023420090332,1.04962777416234,0.379070771771732,0.000148941791008529,0.0444286648694387
"53","AC097654.1",87.8922213070643,1.21869037719285,0.50861989242275,0.000151079842755018,0.0444286648694387
"54","GPR146",68.0583873919662,1.44540804284867,0.520872913106423,0.000146689171688066,0.0444286648694387
"55","AP002387.2",89.2423783752368,0.789067929916356,0.29080027705475,0.000159989556313072,0.0461933482591197
"56","AMOTL1",124.81258087643,-0.741484471917204,0.262956552753312,0.000167758553773905,0.0475715327487431
"57","IL3RA",31.6056003484548,1.05377832962129,0.418873588596988,0.000173547273094097,0.0483496613462152
"58","TMSB10",5598.9132657459,0.530852151216963,0.191600289643511,0.000201858952405093,0.0489460041682267
"59","IL1RAP",187.115967620329,0.747701004404775,0.279052699917979,0.000196778342138842,0.0489460041682267
"60","ZNF718",10.2778630191509,-1.14984241178751,0.409844677429523,0.000195554234134926,0.0489460041682267
"61","LPCAT1",524.489079170434,0.595814639810196,0.219302588460661,0.000193983293932514,0.0489460041682267
"62","LINC02532",34.3890903805136,1.33667245127538,0.69384139607209,0.000181365831985231,0.0489460041682267
"63","TMEM263",119.153340423812,0.807099036054181,0.335587752867228,0.00019771522806146,0.0489460041682267
"64","HSPA2",182.630187348284,1.00168427413585,0.375776259736141,0.000196617126877585,0.0489460041682267
"65","ACAA2",77.9237081386945,-0.693290463925195,0.250347239425644,0.000199316661974356,0.0489460041682267
"66","ZNF878",33.4297675420134,0.952737992223613,0.350203443930574,0.000203427977021597,0.0489460041682267
